Sample_ID	Y haplogroup calls
DA45.SG	BT
MA2200_final.SG	BT
I2168.SG	BT
I2982.SG	BT
I3389.SG	BT
I4792.SG	BT
I6737.SG	BT
I6801.SG	BT
I7187.SG	BT
S10872.E1.L2	B
I4427_all	B
I4427	B
I11019	B2
I3334	B2a
HG00553.SG	B2a1a1a1
NA19043.SG	B2a1a1a1
NA19454.SG	B2a1a1a1
I8868	B2a1a1a1
S10873.E1.L2	B2b
I8821	B2b
S5891.E1.L8	B2b1
NA19384.SG	B2b1
I10873	B2b1
GoyetQ376-3	B2b1
HG02588.SG	B3
HG03225.SG	B3
HG03376.SG	B3
S6420.E1.L5	CT
S11707.Y1.E1.L1	CT
S10029.E1.L1	CT
S10236.E1.L1	CT
S11919.E1.L1	CT
S10397.E1.L2	CT
S11396.L1	CT
S11353.L1	CT
S11050.E1.L1	CT
S11042.E1.L1	CT
S10855.E1.L2	CT
S12140.Y1.E1.L1	CT
CUN001	CT
PS-34.SG	CT
SN-55.SG	CT
S6491.E1.L5	CT
S6491.E1.L3	CT
S12063.E1.L1	CT
S11775.Y1.E1.L1	CT
S11776.Y1.E1.L1	CT
S11293.E1.L1	CT
vik_urm160	CT
S3995.E1.L3	CT
S12375.Y1.E1.L1	CT
S12980.Y1.E1.L1	CT
S12936.Y1.E1.L1	CT
S12957.Y1.E1.L1	CT
S12492.Y1.E1.L1	CT
I0721	CT
S12820.E1.L1	CT
S10569.E1.L2	CT
S12819.E1.L1	CT
S13195.Y1.E1.L1	CT
S13205.Y1.E1.L1	CT
S12750.Y1.E1.L1	CT
S12233.E1.L1	CT
S12528.E1.L1	CT
S12239.E1.L1	CT
S12390.E1.L1	CT
I1727	CT
I1135	CT
I7170	CT
I4158	CT
I2382	CT
E09570_d	CT
I2232	CT
I2550	CT
I3778	CT
I3783	CT
I6981	CT
I4037	CT
I4187	CT
I2720	CT
I2757	CT
I3592_published	CT
I4368	CT
I5006	CT
I5123	CT
I5232	CT
I5530	CT
