Sample_ID	Component	Value	K
DA247.SG	V7	1.00E-05	9
DA247.SG	V8	1.00E-05	9
DA247.SG	V9	1.00E-05	9
DA248.SG	V1	1	1
DA248.SG	V1	0.051366	2
DA248.SG	V2	0.948634	2
DA248.SG	V1	1.00E-05	3
DA248.SG	V2	0.912367	3
DA248.SG	V3	0.087623	3
DA248.SG	V1	1.00E-05	4
DA248.SG	V2	0.99997	4
DA248.SG	V3	1.00E-05	4
DA248.SG	V4	1.00E-05	4
DA248.SG	V1	1.00E-05	5
DA248.SG	V2	1.00E-05	5
DA248.SG	V3	0.99996	5
DA248.SG	V4	1.00E-05	5
DA248.SG	V5	1.00E-05	5
DA248.SG	V1	1.00E-05	6
DA248.SG	V2	0.99995	6
DA248.SG	V3	1.00E-05	6
DA248.SG	V4	1.00E-05	6
DA248.SG	V5	1.00E-05	6
DA248.SG	V6	1.00E-05	6
DA248.SG	V1	1.00E-05	7
DA248.SG	V2	1.00E-05	7
DA248.SG	V3	1.00E-05	7
DA248.SG	V4	1.00E-05	7
DA248.SG	V5	0.99994	7
DA248.SG	V6	1.00E-05	7
DA248.SG	V7	1.00E-05	7
DA248.SG	V1	1.00E-05	8
DA248.SG	V2	1.00E-05	8
DA248.SG	V3	1.00E-05	8
DA248.SG	V4	1.00E-05	8
DA248.SG	V5	1.00E-05	8
DA248.SG	V6	1.00E-05	8
DA248.SG	V7	0.99993	8
DA248.SG	V8	1.00E-05	8
DA248.SG	V1	1.00E-05	9
DA248.SG	V2	1.00E-05	9
DA248.SG	V3	1.00E-05	9
DA248.SG	V4	1.00E-05	9
DA248.SG	V5	0.99992	9
DA248.SG	V6	1.00E-05	9
DA248.SG	V7	1.00E-05	9
DA248.SG	V8	1.00E-05	9
DA248.SG	V9	1.00E-05	9
DA249.SG	V1	1	1
DA249.SG	V1	0.053703	2
DA249.SG	V2	0.946297	2
DA249.SG	V1	1.00E-05	3
DA249.SG	V2	0.911795	3
DA249.SG	V3	0.088195	3
DA249.SG	V1	1.00E-05	4
DA249.SG	V2	0.99997	4
DA249.SG	V3	1.00E-05	4
DA249.SG	V4	1.00E-05	4
DA249.SG	V1	1.00E-05	5
DA249.SG	V2	1.00E-05	5
DA249.SG	V3	0.99996	5
DA249.SG	V4	1.00E-05	5
DA249.SG	V5	1.00E-05	5
DA249.SG	V1	1.00E-05	6
DA249.SG	V2	0.99995	6
DA249.SG	V3	1.00E-05	6
DA249.SG	V4	1.00E-05	6
DA249.SG	V5	1.00E-05	6
DA249.SG	V6	1.00E-05	6
DA249.SG	V1	1.00E-05	7
DA249.SG	V2	1.00E-05	7
DA249.SG	V3	1.00E-05	7
DA249.SG	V4	1.00E-05	7
DA249.SG	V5	0.99994	7
DA249.SG	V6	1.00E-05	7
DA249.SG	V7	1.00E-05	7
DA249.SG	V1	1.00E-05	8
DA249.SG	V2	1.00E-05	8
DA249.SG	V3	1.00E-05	8
DA249.SG	V4	1.00E-05	8
DA249.SG	V5	1.00E-05	8
DA249.SG	V6	1.00E-05	8
DA249.SG	V7	0.99993	8
DA249.SG	V8	1.00E-05	8
DA249.SG	V1	1.70E-05	9
DA249.SG	V2	1.00E-05	9
DA249.SG	V3	1.00E-05	9
DA249.SG	V4	1.00E-05	9
DA249.SG	V5	0.999913	9
DA249.SG	V6	1.00E-05	9
DA249.SG	V7	1.00E-05	9
DA249.SG	V8	1.00E-05	9
DA249.SG	V9	1.00E-05	9
DA250.SG	V1	1	1
DA250.SG	V1	0.061041	2
DA250.SG	V2	0.938959	2
DA250.SG	V1	1.00E-05	3
DA250.SG	V2	0.904829	3
DA250.SG	V3	0.095161	3
DA250.SG	V1	1.00E-05	4
DA250.SG	V2	0.99997	4
DA250.SG	V3	1.00E-05	4
DA250.SG	V4	1.00E-05	4
DA250.SG	V1	1.00E-05	5
DA250.SG	V2	1.00E-05	5
DA250.SG	V3	0.99996	5
DA250.SG	V4	1.00E-05	5
DA250.SG	V5	1.00E-05	5
DA250.SG	V1	1.00E-05	6
DA250.SG	V2	0.99995	6
DA250.SG	V3	1.00E-05	6
DA250.SG	V4	1.00E-05	6
DA250.SG	V5	1.00E-05	6
DA250.SG	V6	1.00E-05	6
DA250.SG	V1	1.40E-05	7
DA250.SG	V2	1.00E-05	7
DA250.SG	V3	1.00E-05	7
DA250.SG	V4	1.00E-05	7
DA250.SG	V5	0.999936	7
DA250.SG	V6	1.00E-05	7
DA250.SG	V7	1.00E-05	7
DA250.SG	V1	1.00E-05	8
DA250.SG	V2	1.00E-05	8
DA250.SG	V3	1.00E-05	8
DA250.SG	V4	1.00E-05	8
DA250.SG	V5	1.00E-05	8
DA250.SG	V6	1.00E-05	8
DA250.SG	V7	0.99993	8
DA250.SG	V8	1.00E-05	8
DA250.SG	V1	1.00E-05	9
DA250.SG	V2	1.00E-05	9
DA250.SG	V3	1.00E-05	9
DA250.SG	V4	1.00E-05	9
DA250.SG	V5	0.99992	9
DA250.SG	V6	1.00E-05	9
DA250.SG	V7	1.00E-05	9
DA250.SG	V8	1.00E-05	9
DA250.SG	V9	1.00E-05	9
DA251.SG	V1	1	1
DA251.SG	V1	0.063461	2
DA251.SG	V2	0.936539	2
DA251.SG	V1	1.00E-05	3
DA251.SG	V2	0.911401	3
DA251.SG	V3	0.088589	3
DA251.SG	V1	1.00E-05	4
DA251.SG	V2	0.99997	4
DA251.SG	V3	1.00E-05	4
DA251.SG	V4	1.00E-05	4
DA251.SG	V1	1.00E-05	5
DA251.SG	V2	1.00E-05	5
DA251.SG	V3	0.99996	5
